number,solution,myTime,bp1time,bp2time,bp3time
9,-1,0.1073,0.0421,0.0485,0.0428
14,41,0.003,0.0225,0.0144,0.0147
19,91,0.0158,0.0035,0.0344,0.0511
20,-1,0.0025,0.0017,0.0015,0.0014
38,83,0.0162,0.0044,0.1072,0.0696
43,-1,0.0086,0.0018,0.0033,0.0018
46,64,0.0045,0.0027,0.0102,0.0234
65,-1,0.0236,0.0024,0.0257,0.003
74,-1,0.0057,0.0016,0.0017,0.0015
106,160,0.0031,0.0017,0.0284,0.0219
107,170,0.0026,0.0017,0.0352,0.0314
133,313,0.0042,0.0022,0.0737,0.0644
141,411,0.0075,0.0034,0.1609,0.1455
142,214,0.0083,0.0038,0.0303,0.0295
143,314,0.0043,0.0022,0.0872,0.0667
145,154,0.0042,0.0021,0.0067,0.0058
152,215,0.0037,0.002,0.0366,0.0341
158,185,0.0079,0.0037,0.0197,0.0157
159,195,0.0049,0.0027,0.0167,0.0158
172,217,0.0047,0.0024,0.0278,0.0241
187,718,0.004,0.002,0.454,0.2098
203,230,0.0023,0.0016,0.0154,0.0118
232,322,0.0055,0.0019,0.1303,0.0847
246,264,0.0055,0.0024,0.0104,0.0079
256,265,0.0032,0.0017,0.0133,0.0127
257,275,0.0039,0.0021,0.0109,0.0658
263,326,0.0035,0.002,0.034,0.0314
270,702,0.0077,0.0038,0.5364,0.1796
274,427,0.0089,0.004,0.0795,0.0611
284,428,0.004,0.0521,0.3645,0.0641
304,340,0.0027,0.0016,0.1673,0.0148
308,380,0.0027,0.0018,0.0311,0.0263
314,341,0.0051,0.0026,0.0173,0.0139
334,343,0.1506,0.003,0.0089,0.0073
347,374,0.0225,0.002,0.0119,0.0272
352,523,0.0032,0.0186,0.1658,0.3083
353,533,0.0035,0.0019,0.0683,0.2258
363,633,0.0053,0.0074,0.2742,0.187
377,737,0.0033,0.0018,0.2216,0.2198
380,803,0.037,0.0068,0.1984,0.1562
386,638,0.0061,0.0023,0.2969,0.314
397,739,0.0038,0.002,0.1842,0.1366
408,480,0.0024,0.0016,0.0387,0.0326
437,473,0.0071,0.0033,0.0277,0.8102
438,483,0.003,0.0019,0.0199,0.0173
440,-1,0.0041,0.0012,0.0018,0.0011
442,-1,0.0039,0.0008,0.0014,0.0029
450,504,0.006,0.0021,0.0913,0.0584
455,545,0.005,0.0024,0.0717,0.0552
456,465,0.0089,0.0037,0.0074,0.0057
459,495,0.0026,0.0017,0.0197,0.0157
470,704,0.0035,0.0021,0.2013,0.0842
476,647,0.0033,0.0019,0.1471,0.0913
477,747,0.0036,0.0021,0.6357,0.135
482,824,0.0039,0.0031,0.3173,0.1346
488,848,0.0036,0.0023,0.364,0.3999
495,549,0.0053,0.0024,0.0307,0.0625
530,-1,0.0021,0.0008,0.0012,0.0011
534,543,0.0027,0.0016,0.0049,0.0046
549,594,0.0024,0.0016,0.0202,0.085
567,576,0.0031,0.0019,0.0065,0.0054
577,757,0.0102,0.0046,0.0952,0.0722
582,825,0.0076,0.0034,0.1437,0.1414
584,845,0.0031,0.0022,0.3328,0.5963
587,758,0.0033,0.0019,0.0631,0.1174
588,858,0.005,0.0024,0.1665,0.2346
596,659,0.0032,0.0021,0.0451,0.06
604,640,0.003,0.0018,0.0388,0.533
626,662,0.0087,0.0085,0.0221,0.0378
642,-1,0.0023,0.0008,0.0015,0.0011
654,-1,0.0022,0.0008,0.0013,0.0012
656,665,0.0025,0.0018,0.0064,0.0058
703,730,0.0116,0.0046,0.0353,0.0393
718,781,0.0027,0.0017,0.0274,0.0246
725,752,0.0033,0.0018,0.0162,0.0122
738,783,0.0035,0.0022,0.0208,0.0752
740,-1,0.003,0.001,0.0014,0.001
750,-1,0.0027,0.001,0.0013,0.001
759,795,0.0028,0.0018,0.0181,0.0142
767,776,0.0032,0.0018,0.0086,0.0061
785,857,0.0213,0.0027,0.0478,0.0273
789,798,0.0027,0.0017,0.0051,0.0052
801,810,0.0031,0.0017,0.0057,0.005
815,851,0.0038,0.0038,0.0373,0.0492
828,882,0.0038,0.0023,0.0441,0.0228
849,894,0.003,0.0018,0.0253,0.0225
850,-1,0.0276,0.001,0.0015,0.001
866,-1,0.0051,0.0011,0.0016,0.0038
875,-1,0.0026,0.0008,0.0014,0.0011
891,918,0.0058,0.0026,0.0183,0.0137
892,928,0.0096,0.0032,0.0633,0.0516
916,961,0.008,0.0041,0.0304,0.0211
940,-1,0.0032,0.0009,0.0017,0.0012
941,-1,0.0022,0.0007,0.0012,0.001
950,-1,0.002,0.0007,0.0013,0.0008
