number,solution,myTime,bp1time,bp2time,bp3time
0,-1,0.0075,0.0032,0.0082,0.0071
1,-1,0.0029,0.0017,0.0015,0.0012
2,-1,0.0029,0.0017,0.0026,0.0023
3,-1,0.0024,0.0015,0.0016,0.0013
4,-1,0.0031,0.0017,0.0062,0.0097
5,-1,0.0026,0.0015,0.0018,0.0013
6,-1,0.0023,0.0015,0.0022,0.0029
7,-1,0.0077,0.0025,0.006,0.0016
8,-1,0.0059,0.0022,0.0027,0.0025
9,-1,0.0021,0.0015,0.0014,0.0012
10,-1,0.008,0.0021,0.004,0.0026
11,-1,0.0077,0.0022,0.0042,0.0023
12,21,0.0343,0.0092,0.0081,0.0072
13,31,0.007,0.004,0.0068,0.0344
14,41,0.0112,0.006,0.011,0.0126
15,51,0.024,0.0092,0.2263,0.0358
16,61,0.0206,0.0087,0.0176,0.0213
17,71,0.0312,0.0078,0.0372,0.0554
18,81,0.0107,0.0055,0.0192,0.026
19,91,0.0118,0.0063,0.0733,0.0924
20,-1,0.0076,0.0024,0.0039,0.0025
21,-1,0.0094,0.0023,0.0041,0.0021
22,-1,0.0286,0.0061,0.0124,0.0081
23,32,0.0101,0.0048,0.0061,0.0053
24,42,0.022,0.0072,0.0076,0.0084
25,52,0.0145,0.0059,0.0115,0.0119
26,62,0.0128,0.0061,0.013,0.0161
27,72,0.0145,0.0068,0.0187,0.0204
28,82,0.0123,0.006,0.0168,0.0204
29,92,0.0405,0.0116,0.0951,0.0811
30,-1,0.007,0.0022,0.004,0.0021
31,-1,0.0174,0.0036,0.0069,0.0027
32,-1,0.012,0.0035,0.0066,0.0035
33,-1,0.0069,0.0022,0.0038,0.0021
34,43,0.0384,0.0064,0.0085,0.0089
35,53,0.0141,0.4202,0.0176,0.0189
36,63,0.0077,0.0041,0.0091,0.0113
37,73,0.0147,0.0061,0.0305,0.0519
38,83,0.0166,0.0076,0.0177,0.0206
39,93,0.0157,0.0071,0.0445,0.0431
40,-1,0.0098,0.0041,0.0047,0.0027
